mq2,mq7,temp,humidity,air_quality
102,60,30,67,Safe
233,126,38,36,Moderate
233,90,42,30,Moderate
121,50,33,59,Safe
157,38,25,63,Safe
217,80,28,55,Moderate
137,38,40,53,Safe
173,47,30,45,Safe
352,239,38,36,Harmful
263,108,36,58,Moderate
156,43,32,38,Safe
187,22,42,75,Safe
347,187,31,64,Harmful
244,127,27,58,Moderate
271,89,30,38,Moderate
133,53,37,43,Safe
320,247,33,34,Harmful
441,237,33,69,Harmful
224,125,41,49,Moderate
100,39,25,44,Safe
281,84,25,51,Moderate
449,173,40,62,Harmful
263,101,30,55,Moderate
111,64,29,46,Safe
314,173,27,53,Harmful
243,120,33,57,Moderate
279,132,25,36,Moderate
281,84,36,30,Moderate
176,52,31,58,Safe
178,28,29,65,Safe
174,45,32,75,Safe
147,36,36,35,Safe
139,39,30,65,Safe
445,200,31,55,Harmful
284,78,34,32,Moderate
325,245,30,63,Harmful
147,27,29,37,Safe
140,31,31,50,Safe
313,185,42,57,Harmful
273,112,42,32,Moderate
220,117,29,69,Moderate
276,119,42,62,Moderate
365,151,26,46,Harmful
353,155,38,47,Harmful
121,42,27,34,Safe
357,182,37,62,Harmful
100,24,30,69,Safe
390,208,24,31,Harmful
134,45,29,69,Safe
319,189,30,43,Harmful
214,84,32,58,Moderate
251,86,24,55,Moderate
124,40,26,60,Safe
128,54,30,53,Safe
448,162,32,36,Harmful
240,102,30,57,Moderate
180,52,37,66,Safe
152,31,28,71,Safe
337,205,31,35,Harmful
235,71,36,56,Moderate
270,90,37,30,Moderate
267,126,35,51,Moderate
265,124,38,69,Moderate
131,38,39,63,Safe
272,107,32,61,Moderate
144,39,27,72,Safe
170,32,33,48,Safe
282,106,34,37,Moderate
403,237,37,40,Harmful
416,157,29,46,Harmful
220,113,40,55,Moderate
442,198,42,53,Harmful
276,105,35,73,Moderate
441,214,42,40,Harmful
219,122,40,61,Moderate
301,217,30,57,Harmful
163,23,34,58,Safe
139,57,37,39,Safe
326,248,39,40,Harmful
314,202,42,62,Harmful
310,202,36,33,Harmful
407,213,24,64,Harmful
169,52,27,65,Safe
244,94,24,35,Moderate
410,226,30,58,Harmful
287,101,26,57,Moderate
189,65,36,69,Safe
183,27,36,58,Safe
359,168,25,52,Harmful
441,199,30,66,Harmful
234,138,26,74,Moderate
166,25,39,39,Safe
323,199,32,49,Harmful
119,61,35,32,Safe
425,174,40,32,Harmful
239,87,38,67,Moderate
172,48,39,38,Safe
361,185,27,70,Harmful
378,232,40,36,Harmful
245,107,39,31,Moderate
186,32,27,49,Safe
278,86,41,40,Moderate
274,102,30,52,Moderate
323,196,28,49,Harmful
134,25,26,58,Safe
182,24,32,55,Safe
100,54,36,40,Safe
436,188,28,51,Harmful
150,40,29,70,Safe
140,39,34,57,Safe
154,59,42,73,Safe
168,23,42,40,Safe
184,58,35,59,Safe
171,45,25,46,Safe
237,109,37,41,Moderate
229,72,36,50,Moderate
279,95,28,50,Moderate
140,64,30,39,Safe
106,29,24,65,Safe
402,172,38,69,Harmful
436,152,40,61,Harmful
264,70,39,60,Moderate
156,61,24,35,Safe
263,70,34,69,Moderate
131,21,39,48,Safe
150,21,39,33,Safe
391,187,27,47,Harmful
420,203,38,75,Harmful
227,113,38,31,Moderate
390,196,35,47,Harmful
279,109,39,32,Moderate
120,42,28,65,Safe
190,45,33,56,Safe
265,139,28,52,Moderate
141,57,29,42,Safe
262,123,27,72,Moderate
447,222,27,51,Harmful
161,47,42,35,Safe
308,211,37,59,Harmful
102,43,24,52,Safe
345,227,41,55,Harmful
395,239,24,32,Harmful
316,186,39,72,Harmful
113,51,32,45,Safe
396,216,38,67,Harmful
151,61,26,31,Safe
246,76,41,47,Moderate
377,246,41,63,Harmful
101,28,36,34,Safe
283,91,39,66,Moderate
254,91,24,42,Moderate
320,250,24,33,Harmful
301,242,28,64,Harmful
415,186,37,51,Harmful
185,45,36,35,Safe
190,61,32,73,Safe
213,76,35,62,Moderate
269,126,28,35,Moderate
315,257,38,43,Harmful
235,133,42,38,Moderate
127,36,38,51,Safe
288,89,34,48,Moderate
206,136,28,49,Moderate
330,154,36,41,Harmful
283,104,25,70,Moderate
238,70,34,50,Moderate
328,244,30,61,Harmful
308,186,34,40,Harmful
233,112,29,66,Moderate
184,25,30,39,Safe
411,250,31,36,Harmful
423,190,38,39,Harmful
117,53,27,71,Safe
381,235,28,49,Harmful
444,201,34,60,Harmful
287,138,36,40,Moderate
